r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
5.541928835,64.07740455,1.44E+17,2.75E+17,4.02E+17,5.27E+17,6.51E+17
5.541928835,64.07740455,1.90E+17,3.63E+17,5.31E+17,6.97E+17,8.61E+17
5.608358413,92.30942719,6.51E+15,1.64E+16,2.60E+16,3.52E+16,4.42E+16
5.608358413,92.30942719,2.48E+16,4.99E+16,7.38E+16,9.71E+16,1.20E+17
5.608358413,92.30942719,4.45E+16,8.63E+16,1.27E+17,1.67E+17,2.06E+17
5.608358413,92.30942719,6.48E+16,1.25E+17,1.84E+17,2.42E+17,3.00E+17
5.608358413,92.30942719,8.57E+16,1.65E+17,2.44E+17,3.21E+17,3.97E+17
5.687819811,98.176899,4.24E+15,1.07E+16,1.69E+16,2.30E+16,2.88E+16
5.687819811,98.176899,1.59E+16,3.20E+16,4.74E+16,6.24E+16,7.72E+16
5.687819811,98.176899,2.83E+16,5.50E+16,8.11E+16,1.07E+17,1.32E+17
5.687819811,98.176899,4.12E+16,7.96E+16,1.17E+17,1.55E+17,1.92E+17
5.687819811,98.176899,5.43E+16,1.05E+17,1.55E+17,2.05E+17,2.54E+17
5.712810543,70.93495596,1.29E+16,3.26E+16,5.18E+16,7.01E+16,8.79E+16
5.712810543,70.93495596,5.08E+16,1.02E+17,1.50E+17,1.96E+17,2.42E+17
5.712810543,70.93495596,9.14E+16,1.76E+17,2.57E+17,3.37E+17,4.16E+17
5.712810543,70.93495596,1.33E+17,2.55E+17,3.73E+17,4.89E+17,6.03E+17
5.712810543,70.93495596,1.76E+17,3.36E+17,4.92E+17,6.46E+17,7.98E+17
5.744549729,84.94541048,9.02E+15,2.27E+16,3.60E+16,4.88E+16,6.13E+16
5.744549729,84.94541048,3.49E+16,7.00E+16,1.03E+17,1.36E+17,1.68E+17
5.744549729,84.94541048,6.27E+16,1.21E+17,1.78E+17,2.34E+17,2.89E+17
5.744549729,84.94541048,9.14E+16,1.76E+17,2.58E+17,3.39E+17,4.20E+17
5.744549729,84.94541048,1.21E+17,2.32E+17,3.41E+17,4.49E+17,5.56E+17
6.678571429,0,7.06E+13,1.62E+14,2.57E+14,3.53E+14,4.51E+14
6.678571429,0,1.11E+14,2.38E+14,3.69E+14,5.00E+14,6.33E+14
6.678571429,0,1.35E+14,2.84E+14,4.34E+14,5.85E+14,7.36E+14
6.678571429,0,1.52E+14,3.15E+14,4.79E+14,6.43E+14,8.06E+14
6.678571429,0,1.64E+14,3.38E+14,5.11E+14,6.84E+14,8.57E+14
6.678571429,0.258390454,1.09E+14,2.78E+14,4.62E+14,6.53E+14,8.48E+14
6.678571429,0.258390454,2.44E+14,5.79E+14,9.34E+14,1.30E+15,1.67E+15
6.678571429,0.258390454,3.72E+14,8.62E+14,1.38E+15,1.92E+15,2.46E+15
6.678571429,0.258390454,4.95E+14,1.14E+15,1.83E+15,2.53E+15,3.24E+15
6.678571429,0.258390454,6.15E+14,1.42E+15,2.26E+15,3.13E+15,4.00E+15
6.678571429,0.620137089,1.82E+14,5.09E+14,8.72E+14,1.25E+15,1.63E+15
6.678571429,0.620137089,5.69E+14,1.39E+15,2.25E+15,3.13E+15,4.02E+15
6.678571429,0.620137089,1.02E+15,2.38E+15,3.79E+15,5.23E+15,6.67E+15
6.678571429,0.620137089,1.50E+15,3.44E+15,5.45E+15,7.47E+15,9.51E+15
6.678571429,0.620137089,2.01E+15,4.55E+15,7.17E+15,9.82E+15,1.25E+16
6.678571429,1.126582378,3.18E+14,9.14E+14,1.56E+15,2.21E+15,2.86E+15
6.678571429,1.126582378,1.20E+15,2.79E+15,4.39E+15,5.98E+15,7.58E+15
6.678571429,1.126582378,2.23E+15,4.89E+15,7.56E+15,1.02E+16,1.29E+16
6.678571429,1.126582378,3.34E+15,7.15E+15,1.10E+16,1.48E+16,1.86E+16
6.678571429,1.126582378,4.49E+15,9.50E+15,1.45E+16,1.96E+16,2.46E+16
6.678571429,1.835605782,5.56E+14,1.57E+15,2.63E+15,3.68E+15,4.71E+15
